symbol,name,sector,subindustry,address,exchange,website
WFC,Wells Fargo,Financials,Banks,"San Francisco, California",New York Stock Exchange,http://www.wellsfargo.com
WHR,Whirlpool Corp.,Consumer Discretionary,Household Appliances,"Benton Harbor, Michigan",New York Stock Exchange,http://www.whirlpoolcorp.com
WM,Waste Management Inc.,Industrials,Environmental Services,"Houston, Texas",New York Stock Exchange,http://www.wm.com
WMB,Williams Cos.,Energy,Oil & Gas Exploration & Production,"Tulsa, Oklahoma",New York Stock Exchange,http://www.williams.com
WMT,Wal-Mart Stores,Consumer Staples,Hypermarkets & Super Centers,"Bentonville, Arkansas",New York Stock Exchange,http://www.walmart.com
WY,Weyerhaeuser Corp.,Real Estate,REITs,"Federal Way, Washington",New York Stock Exchange,http://www.weyerhaeuser.com
WYN,Wyndham Worldwide,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Parsippany, New Jersey",New York Stock Exchange,http://www.wyndhamworldwide.com
WYNN,Wynn Resorts Ltd,Consumer Discretionary,Casinos & Gaming,"Las Vegas, Nevada",New York Stock Exchange,https://www.wynnresorts.com
XEL,Xcel Energy Inc,Utilities,MultiUtilities,"Minneapolis, Minnesota",New York Stock Exchange,http://www.xcelenergy.com
XL,XL Capital,Financials,Property & Casualty Insurance,"Hamilton, Bermuda",New York Stock Exchange,http://www.xlgroup.com
XOM,Exxon Mobil Corp.,Energy,Integrated Oil & Gas,"Irving, Texas",New York Stock Exchange,http://www.exxonmobil.com
XRAY,Dentsply Sirona,Health Care,Health Care Supplies,"York, Pennsylvania",New York Stock Exchange,http://www.dentsplysirona.com
YUM,Yum! Brands Inc,Consumer Discretionary,Restaurants,"Louisville, Kentucky",New York Stock Exchange,http://www.yum.com
ZION,Zions Bancorp,Financials,Regional Banks,"Salt Lake City, Utah",Nasdaq Global Select,http://www.zionsbancorporation.com
